Fase 1,Fase 2,Fase 3,Fase 4,Fase 5,Fase 6
360,400,388,380,368,190
358,398,386,378,366,188
356,396,384,376,364,186
354,394,382,374,362,184
352,392,332,372,312,124
350,390,330,370,310,122
348,344,328,324,308,120
346,342,326,322,306,118
304,340,276,320,256,58
302,338,274,318,254,56
300,336,272,316,252,54
298,334,270,314,250,52
296,290,220,268,200,22
294,288,218,266,198,20
292,286,216,264,196,18
290,284,214,262,194,
248,282,154,260,134,
246,280,152,258,132,
244,232,150,212,130,
242,230,148,210,128,
240,228,88,208,68,
238,226,86,206,66,
236,224,84,204,64,
234,222,82,202,62,
182,166,412,146,32,
180,164,,144,30,
178,162,,142,28,
176,160,,140,26,
174,158,,138,,
172,156,,136,,
170,100,,80,,
168,98,,78,,
116,96,,76,,
114,94,,74,,
112,92,,72,,
110,90,,70,,
108,410,,34,,
106,,,,,
104,,,,,
102,,,,,
50,,,,,
48,,,,,
46,,,,,
44,,,,,
42,,,,,
40,,,,,
38,,,,,
36,,,,,
16,,,,,
14,,,,,
12,,,,,
10,,,,,
8,,,,,
6,,,,,
4,,,,,
